ID,title,coords,IDImagenVitrina
11223200,12232,"200, 586, 20",6007003
11225600,12256,,
11225900,12259,"113, 687, 20",6007003
11227000,12270,"125, 815, 20",6007001
11230700,12307,"118, 1064, 20",6007003
11233500,12335,"377, 1098, 50",6006002
11233600,12336,,
11233700,12337,"634, 913, 40- 634, 991, 40",6006002
11233800,12338,"763, 505, 20",6007001
22338100,12338,"377, 499, 20",6007002
20000007,12951,"514, 1118, 40",6009003
11295800,12958,"175, 789, 20",6007001
11317300,13173,"629, 1133, 20",6008003
23173100,13173,"355, 1133, 20",6008004
11319600,13196,"618, 634, 30",6006004
11319700,13197,"571, 1098, 30",6008004
11319800,13198,"607, 1087, 20",6008003
23198100,13198,"332, 1087, 20",6008004
11320200,13202,"777, 1059, 20",6008003
23202100,13202,"502, 1059, 20",6008004
11320400,13204,"683, 551, 40",6006004
11387100,13871,"568, 932, 40- 568, 984, 30",6008002
11387200,13872,,6006004
11387300,13873,"447, 895, 30",6006004
11387400,13874,"601, 837, 40- 601, 894, 40- 601, 962, 40",6009001
23874100,13874,"211, 837, 40- 211, 894, 40- 211, 962, 40",6009002
11387600,13876,"148, 536, 20- 182, 536, 20- 216, 536, 20",6007003
11387800,13878,"285, 835, 20",6007001
11388000,13880,"448, 464, 30- 494, 464, 30- 536, 464, 30",6006004
11388200,13882,"509, 1077, 20- 527, 1110, 20",6008003
23882100,13882,"235, 1077, 20- 253, 1110, 20",6008004
20000011,13919,"391, 1097, 10- 410, 1097 10- 429, 1097, 10- 446, 1097, 10",6011002
11399300,13993,"43, 926, 15",6010003
11399700,13997,"618, 863, 15",6010002
11399900,13999,"645, 837, 10- 645, 854, 10- 645, 872, 10- 645, 890, 10- 645, 907, 10- 645, 924, 10",6010002
11425200,14252,"398, 1190, 20",6011003
11425800,14258,"564, 1097, 60",6010003
24258100,14258,"129, 1085, 60",6010004
11426000,14260,"556, 880, 40",6010004
11426200,14262,"624, 529, 65",6010003
24262100,14262,"249, 523, 65",6010004
11426300,14263,"550, 346, 65",6010003
24263100,14263,"159, 339, 65",6010004
11426700,14267,"336, 935, 15- 360, 935, 15- 385, 935, 15- 412, 935, 15- 438, 935, 15- 464, 935, 15- 490, 935, 15- 516, 935, 15",6011001
11426800,14268,"226, 676, 30- 226, 716, 30",6010001
11426900,14269,"616, 538, 30- 616, 575, 30",6010001
24269100,14269,"255, 526, 30- 255, 563, 30",6010002
11427000,14270,,
20000016,14270,"157, 1124, 30",6011003
11427300,14273,"646, 1119, 20",6011002
11427400,14274,"603, 578, 20",6010002
11427500,14275,"155, 655, 20",6010001
11427800,14278,"166, 706, 20",6010001
11428000,14280,"486, 549, 20",6010001
24280100,14280,"125, 537, 20",6010002
11428400,14284,"99, 668, 20",6010001
20000016,14285,"157, 1124, 30",6011003
24286100,14286,"617, 797, 20",6010002
24286200,14286,"565, 788, 15",6010002
11428800,14288,"679, 1088, 20",6011002
24289100,14289,"507, 654, 20",6010002
11429200,14292,"602, 1020, 30- 602, 1060, 30- 602, 1097, 20",6011002
11429700,14297,"450, 622, 20- 486, 622, 20- 522, 622, 20- 555, 622, 20",6010001
24297100,14297,"89, 610, 20- 125, 610, 20- 161, 610, 20- 193, 610, 20",6010002
11430200,14302,"681, 590, 30",6010002
11430500,14305,"123, 713, 20",6010001
11430700,14307,"270, 965, 15- 296, 965, 15- 324, 965, 15- 352, 965, 15",6011001
11431700,14317,"534, 741, 15",6010002
11432900,14329,"152, 1003, 25",6010003
20000013,14333,"492, 1014, 30- 498, 1065, 30- 498, 1104, 20",6011002
11433800,14338,"567, 672, 20",6010002
11434300,14343,"301, 1015, 30",6011001
11436900,14369,"722, 1076, 65",6010003
24369100,14369,"295, 1065, 65",6010004
11437100,14371,"397, 981, 10- 414, 981, 10- 433, 981, 10- 450, 981, 10- 467, 981, 10- 485, 981, 10- 504, 981, 10- 522, 981, 10- 541, 981, 10",6011001
11437300,14373,"621, 683, 20",6010002
11437500,14375,,6011001
11437600,14376,"312, 650, 30- 312, 687, 30",6010001
11438900,14389,"82, 1105, 40",6009003
20000002,14398,"735, 1037, 30- 748, 1092, 30",6007002
11440000,14400,"676, 1026, 40- 703, 1071, 20",6008004
11440500,14405,,
20000015,14411,"79,1123, 30",6011003
20000014,14412,"557, 1100, 20",6011002
